作物名,露地栽培難度,理由
小松菜,20,+成長が早く収穫までが短い|+病害虫に比較的強い|-連作障害が出にくい
ほうれん草,30,+発芽率がやや低い|+ベと病など病害が多い|+土壌酸度を嫌う
レタス,45,+結球させにくい|+病害虫の被害を受けやすい|+高温に弱い
サニーレタス,35,+レタスより結球の心配がない|+病害虫の被害を受けやすい|+高温に弱い
サラダ菜,30,+レタスより結球の心配がない|-病害虫に比較的強い|+高温に弱い
水菜,25,+成長が早く収穫までが短い|-病害虫に比較的強い|-連作障害が出にくい
白菜,60,+結球させにくい|+病害虫の被害を受けやすい|+栽培期間が長い
キャベツ,55,+結球させにくい|+アオムシなどの被害を受けやすい|+栽培期間が長い
ブロッコリー,65,+頂花蕾以外の側花蕾も収穫する場合手間がかかる|+アオムシなどの被害を受けやすい|+連作障害が出やすい
カリフラワー,70,+花蕾を白く保つ手間（軟白処理）がかかる|+病害虫の被害を受けやすい|+栽培期間が長い
チンゲン菜,20,+成長が早く収穫までが短い|-病害虫に比較的強い|-連作障害が出にくい
春菊,25,+比較的丈夫で育てやすい|-病害虫に比較的強い|-連作障害が出にくい
ルッコラ,30,+アブラムシの被害を受けやすい|+高温に弱い|+連作障害が出やすい
クレソン,40,+水管理が重要|+アブラムシの被害を受けやすい|+高温に弱い
からし菜,30,+アブラムシの被害を受けやすい|+高温に弱い|+連作障害が出やすい
モロヘイヤ,20,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
つるむらさき,25,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
空心菜,30,+高温に強く育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
芽キャベツ,75,+栽培期間が非常に長い|+病害虫の被害を受けやすい|+芽の付き方にばらつきが出やすい
コールラビ,60,+栽培期間が長い|+病害虫の被害を受けやすい|+肥大させにくい
大根,35,+生育が早く育てやすい|+アブラムシやダイコンサルハムシの被害を受けやすい|+土壌が固いと又根になりやすい
二十日大根,20,+生育が非常に早く育てやすい|-病害虫の被害が少ない|-土壌を選ばない
人参,40,+発芽率が低い|+土壌が固いと又根になりやすい|+セリ科の病害虫が発生しやすい
かぶ,30,+生育が早く育てやすい|+アブラムシやダイコンサルハムシの被害を受けやすい|+連作障害が出やすい
ごぼう,50,+土壌が深くまで耕せる必要あり|+発芽率が低い|+連作障害が出やすい
じゃがいも,40,+連作障害が出やすい|+そうか病などの土壌病害が出やすい|+疫病などの病害が発生しやすい
さつまいも,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
里芋,35,+乾燥に弱い|+連作障害が出やすい|+病害虫の被害を受けやすい
長芋,60,+深くまで土壌を耕す必要あり|+連作障害が出やすい|+病害虫の被害を受けやすい
ビーツ,45,+発芽率が低い|+連作障害が出やすい|+病害虫の被害を受けやすい
蓮根,80,+深い水田環境が必要|+栽培期間が非常に長い|+収穫作業が重労働
トマト,65,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
ミニトマト,60,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
中玉トマト,65,+病害虫の被害を受けやすい|+連作障害が出やすい|+水管理が重要
ピーマン,55,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
パプリカ,60,+ピーマンよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
ししとう,50,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
万願寺とうがらし,55,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
とうがらし,50,+比較的育てやすい|-病害虫の被害が少ない|+連作障害が出やすい
ナス,60,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
白ナス,65,+ナスよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
水ナス,65,+ナスよりデリケート|+連作障害が出やすい|+病害虫の被害を受けやすい
長ナス,60,+連作障害が出やすい|+病害虫の被害を受けやすい|+高温を好む
きゅうり,55,+つるが伸びて管理が大変|+病害虫の被害を受けやすい|+連作障害が出やすい
ミニきゅうり,50,+つるが伸びて管理が大変|+病害虫の被害を受けやすい|+連作障害が出やすい
ズッキーニ,40,+つるが伸びて管理が大変|-病害虫に比較的強い|-連作障害が出にくい
かぼちゃ,35,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
バターナッツ,35,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
オクラ,30,+高温を好み育てやすい|-病害虫の被害が少ない|-連作障害が出にくい
ゴーヤ,35,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
へちま,40,+つるが伸びて場所をとる|+病害虫の被害を受けやすい|+連作障害が出やすい
冬瓜,40,+つるが伸びて場所をとる|-病害虫に比較的強い|-連作障害が出にくい
枝豆,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
いんげん,30,+つるあり種は支柱が必要|-病害虫に比較的強い|-連作障害に強い
スナップエンドウ,45,+鳥害にあいやすい|+うどんこ病が発生しやすい|+連作障害が出やすい
絹さや,45,+鳥害にあいやすい|+うどんこ病が発生しやすい|+連作障害が出やすい
実エンドウ,50,+鳥害にあいやすい|+うどんこ病が発生しやすい|+連作障害が出やすい
そら豆,50,+アブラムシの被害を受けやすい|+鳥害にあいやすい|+連作障害が出やすい
ささげ,35,+つるあり種は支柱が必要|-病害虫に比較的強い|-連作障害に強い
四角豆,40,+つるが伸びて支柱が必要|+高温を好む|+病害虫の被害を受けやすい
ネギ,45,+栽培期間が長い|+病害虫の被害を受けやすい|+土壌が固いと曲がりやすい
玉ねぎ,50,+栽培期間が長い|+病害虫の被害を受けやすい|+土壌病害が発生しやすい
にんにく,55,+栽培期間が長い|+病害虫の被害を受けやすい|+土壌病害が発生しやすい
しょうが,60,+発芽しにくい|+寒さに弱い|+連作障害が出やすい
にら,30,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
わけぎ,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
あさつき,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
らっきょう,45,+栽培期間が長い|+病害虫の被害を受けやすい|+連作障害が出やすい
みょうが,35,+日陰を好む|-病害虫の被害が少ない|-連作障害に強い
セロリ,70,+発芽率が低い|+栽培期間が長い|+病害虫の被害を受けやすい
三つ葉,40,+半日陰を好む|+水管理が重要|+病害虫の被害を受けやすい
パセリ,40,+発芽率が低い|+病害虫の被害を受けやすい|+高温多湿に弱い
しそ,25,+こぼれ種で増えるほど丈夫|-病害虫に比較的強い|-連作障害が出にくい
バジル,30,+高温を好み育てやすい|-病害虫に比較的強い|-連作障害が出にくい
ローズマリー,35,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
タイム,30,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
オレガノ,30,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
セージ,35,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
ミント,20,+繁殖力が非常に強い|-病害虫の被害が少ない|-連作障害に強い
レモンバーム,25,+繁殖力が強い|-病害虫の被害が少ない|-連作障害に強い
カモミール,30,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
ラベンダー,45,+高温多湿に弱い|+剪定が必要|+連作障害が出やすい
ディル,35,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
フェンネル,40,+比較的育てやすい|+高温に弱い|+連作障害が出やすい
コリアンダー,30,+比較的育てやすい|+高温に弱い|+連作障害が出やすい
チャイブ,25,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
レモングラス,50,+寒さに弱い|+株分けが必要|+連作障害が出やすい
とうもろこし,40,+アワノメイガなどの害虫被害を受けやすい|+連作障害が出やすい|+受粉が重要
落花生,35,+比較的育てやすい|-病害虫の被害が少ない|-連作障害に強い
ごま,50,+草丈が高くなり倒れやすい|+収穫適期の判断が難しい|+連作障害が出やすい
えごま,50,+草丈が高くなり倒れやすい|+収穫適期の判断が難しい|+連作障害が出やすい
豆苗,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
もやし,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
貝割れ大根,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
ブロッコリースプラウト,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
アルファルファ,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
かいわれ菜,10,+室内栽培が基本で容易|-病害虫の心配がない|-栽培期間が非常に短い
しいたけ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
しめじ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
えのき,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
まいたけ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
ひらたけ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
エリンギ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
なめこ,90,+菌床栽培が基本で露地は難しい|+温度・湿度の管理が非常に難しい|+病害虫の被害を受けやすい
ふき,40,+半日陰を好む|+水管理が重要|+繁殖力が強い
ふきのとう,40,+半日陰を好む|+水管理が重要|+繁殖力が強い
たけのこ,85,+栽培期間が非常に長い|+広大な土地が必要|+収穫が重労働
わらび,70,+繁殖力が強いが環境整備が必要|+アク抜きが必要|+連作障害が出やすい
ぜんまい,70,+繁殖力が強いが環境整備が必要|+アク抜きが必要|+連作障害が出やすい
こごみ,65,+半日陰を好む|+水管理が重要|+繁殖力が強い
たらの芽,75,+比較的育てやすいが栽培期間が長い|+収穫適期が短い|+病害虫の被害を受けやすい
こしあぶら,75,+比較的育てやすいが栽培期間が長い|+収穫適期が短い|+病害虫の被害を受けやすい
あしたば,50,+比較的育てやすいが寒さに弱い|+連作障害が出やすい|+病害虫の被害を受けやすい
つわぶき,40,+日陰を好む|-病害虫の被害が少ない|-連作障害に強い
おかひじき,30,+塩分を好む|-病害虫の被害が少ない|-連作障害に強い
つるな,25,+繁殖力が強い|-病害虫の被害が少ない|-連作障害に強い
すべりひゆ,20,+非常に丈夫で育てやすい|-病害虫の心配がない|-連作障害に強い
いちご,70,+病害虫の被害を受けやすい|+ランナーの管理が必要|+連作障害が出やすい
ブルーベリー,75,+土壌酸度調整が必要|+鳥害にあいやすい|+栽培期間が長い
ラズベリー,70,+つる性で管理が必要|+鳥害にあいやすい|+病害虫の被害を受けやすい
ブラックベリー,70,+つる性で管理が必要|+鳥害にあいやすい|+病害虫の被害を受けやすい
グーズベリー,70,+トゲがあり管理が大変|+鳥害にあいやすい|+病害虫の被害を受けやすい
クランベリー,80,+湿地を好む特殊な環境が必要|+鳥害にあいやすい|+栽培期間が長い
ぶどう,80,+棚作りなど大掛かりな設備が必要|+病害虫の被害を受けやすい|+鳥害にあいやすい
キウイフルーツ,85,+棚作りなど大掛かりな設備が必要|+雄雌株が必要|+病害虫の被害を受けやすい
レモン,90,+寒さに弱い|+病害虫の被害を受けやすい|+収穫まで時間がかかる
ゆず,85,+寒さに弱い|+病害虫の被害を受けやすい|+収穫まで時間がかかる
すだち,85,+寒さに弱い|+病害虫の被害を受けやすい|+収穫まで時間がかかる
かぼす,85,+寒さに弱い|+病害虫の被害を受けやすい|+収穫まで時間がかかる
ひまわり,20,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
朝顔,20,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
コスモス,20,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
マリーゴールド,20,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
ジニア,25,+比較的育てやすい|-病害虫に比較的強い|+連作障害が出やすい
ペチュニア,30,+高温多湿に弱い|+病害虫の被害を受けやすい|+花がら摘みが必須
パンジー,30,+高温に弱い|+病害虫の被害を受けやすい|+花がら摘みが必須
ビオラ,25,+高温に弱い|+病害虫の被害を受けやすい|+花がら摘みが必須
サルビア,25,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
インパチェンス,35,+日陰を好む|+水管理が重要|+病害虫の被害を受けやすい
ナスタチウム,30,+アブラムシの被害を受けやすい|+高温に弱い|+連作障害が出やすい
カスミソウ,40,+高温多湿に弱い|+病害虫の被害を受けやすい|+連作障害が出やすい
千日紅,20,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
ケイトウ,25,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
チューリップ,35,+連作障害が出やすい|+土壌病害が発生しやすい|+鳥害にあいやすい
水仙,30,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
クロッカス,30,+比較的育てやすい|-病害虫に比較的強い|-土壌を選ばない
ヒヤシンス,35,+連作障害が出やすい|+土壌病害が発生しやすい|+鳥害にあいやすい